r,er,srx,sry,Pxx_inf,Pyy_inf,Nx,Ny,N_sum
0.1,10000000000.0,3.162277660168379,0.31622776601683794,9.957219052921351,1.174439004455287,0.1004296475436693,0.8514703583638275,0.9519000059074968
0.1,100,3.162277660168379,0.31622776601683794,9.01039701101663,1.1596605643671467,0.11098290106166714,0.8623212953229318,0.973304196384599
0.1,10,3.162277660168379,0.31622776601683794,4.639727859020634,1.0319944388970932,0.21552988243820892,0.9689974696653539,1.1845273521035629
0.1,5,3.162277660168379,0.31622776601683794,2.7968272056082775,0.8988231069550734,0.357548009399641,1.112565967944106,1.470113977343747
0.1,2,3.162277660168379,0.31622776601683794,0.8974909704123444,0.534360281535443,1.1142173380759015,1.871396573724711,2.9856139118006126
0.15,10000000000.0,2.581988897471611,0.3872983346207417,7.1886329642860565,1.2448048996991292,0.13910850713454329,0.8033387402650015,0.9424472473995448
0.15,100,2.581988897471611,0.3872983346207417,6.6824840574980175,1.2279250566495632,0.14964495109838077,0.8143819482994632,0.964026899397844
0.15,10,2.581988897471611,0.3872983346207417,3.933716057096636,1.0839883040888851,0.25421255258013503,0.9225191786921731,1.1767317312723082
0.15,5,2.581988897471611,0.3872983346207417,2.5223997967710434,0.9369449826022637,0.396447859407582,1.0672985272012534,1.4637463866088354
0.15,2,2.581988897471611,0.3872983346207417,0.8665138270899404,0.5469325505303048,1.154049674381254,1.8283790186384077,2.9824286930196617
0.2,10000000000.0,2.23606797749979,0.4472135954999579,5.778934496122111,1.3110537413920045,0.17304227979587566,0.7627452395187517,0.9357875193146274
0.2,100,2.23606797749979,0.4472135954999579,5.44703059469086,1.292128035728353,0.18358626459243413,0.7739171137450903,0.9575033783375244
0.2,10,2.23606797749979,0.4472135954999579,3.4689361083634123,1.1324517599557273,0.28827282162650836,0.8830398215276689,1.1713126431541774
0.2,5,2.23606797749979,0.4472135954999579,2.3217898970489586,0.9721531110290226,0.4307021928517391,1.0286445505909059,1.459346743442645
0.2,2,2.23606797749979,0.4472135954999579,0.8410645877981855,0.5582628188537712,1.1889693306644735,1.7912710039568935,2.9802403346213673
0.3,10000000000.0,1.8257418583505538,0.5477225575051661,4.337833433660807,1.4356083982738403,0.23052982907093206,0.6965687865871981,0.9270986156581302
0.3,100,1.8257418583505538,0.5477225575051661,4.147233961013498,1.4126759421312312,0.2411245686644649,0.7078764281151073,0.9490009967795723
0.3,10,1.8257418583505538,0.5477225575051661,2.8881650920966604,1.2224025469193438,0.346240595018774,0.8180611227620271,1.164301717780801
0.3,5,1.8257418583505538,0.5477225575051661,2.0445691226810734,1.036715926112603,0.4891006075102442,0.9645843907787954,1.4536849982890396
